央卫频道,#genre#
陕西卫视,http://183.24.62.163:44443/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0#http://110.178.211.107:9003/hls/42/index.m3u8
山东卫视,http://183.24.62.163:44443/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0#http://110.178.211.107:9003/hls/41/index.m3u8#http://220.187.223.97:85/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://183.24.62.163:44443/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0#http://110.178.211.107:9003/hls/19/index.m3u8#http://220.187.223.97:85/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://183.24.62.163:44443/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0#http://110.178.211.107:9003/hls/38/index.m3u8
青海卫视,http://183.24.62.163:44443/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0#http://110.178.211.107:9003/hls/40/index.m3u8
海南卫视,http://183.24.62.163:44443/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0#http://110.178.211.107:9003/hls/28/index.m3u8
宁夏卫视,http://183.24.62.163:44443/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0#http://110.178.211.107:9003/hls/39/index.m3u8
西藏卫视,http://183.24.62.163:44443/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0#http://110.178.211.107:9003/hls/46/index.m3u8
新疆卫视,http://183.24.62.163:44443/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0#http://110.178.211.107:9003/hls/47/index.m3u8
甘肃卫视,http://183.24.62.163:44443/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0#http://110.178.211.107:9003/hls/25/index.m3u8
福建卫视,http://110.178.211.107:9003/hls/24/index.m3u8
旅游卫视,http://220.187.223.97:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
兵团卫视,http://183.24.62.163:44443/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0#http://110.178.211.107:9003/hls/50/index.m3u8


港台频道,#genre#
凤凰中文,http://rihou.cc:555/tv/[Pd]凤凰中文
凤凰资讯,http://rihou.cc:555/tv/[Pd]凤凰资讯
凤凰香港,http://rihou.cc:555/tv/[Pd]凤凰香港
有线综合,http://rihou.cc:555/tv/[Pd]有线综合
无线新闻,http://rihou.cc:555/tv/[Pd]无线新闻
无线翡翠,http://rihou.cc:555/tv/[Pd]无线翡翠#http://rihou.cc:555/tv/[Pd]无线翡4K
无线华丽,http://rihou.cc:555/tv/[Pd]无线华丽
无线明珠,http://rihou.cc:555/tv/[Pd]无线明珠
无线星河,http://rihou.cc:555/tv/[Pd]无线星河
无线功夫,http://rihou.cc:555/tv/[Pd]无线功夫
全球时尚,https://player.juyun.tv/camera/137932133.m3u8
每经快迅,https://swiftplay.hxkjmedia.com/tv/spbW.m3u8

电影频道,#genre#
CHC动作,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=chcdz#http://38.75.136.137:98/gslb/dsdqpub/chcdz.m3u8?auth=testpub
CHC影迷,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=chchd#http://38.75.136.137:98/gslb/dsdqpub/chchd.m3u8?auth=testpub#http://120.24.194.118:10002/952383261
CHC家庭,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=chcjt#http://38.75.136.137:98/gslb/dsdqpub/chcjt.m3u8?auth=testpub
新片放映,http://120.198.160.88:1234/619495952
黑莓电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221225743/index.m3u8?#http://39.135.133.138/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
动作电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221225661/index.m3u8?#http://39.135.133.167/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
超级电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221225717/index.m3u8?#http://39.134.65.3/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
惊悚悬疑,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221225665/index.m3u8?#http://39.134.65.89/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
国产悬疑,http://8.155.43.98:35455/huya/11342395
高分动作,http://8.155.43.98:35455/huya/11352884
犯罪片,http://8.155.43.98:35455/huya/11352962
战争片,http://8.155.43.98:35455/huya/21059574
功夫片,http://8.155.43.98:35455/huya/11352941
喜剧片,http://8.155.43.98:35455/huya/11352877
武侠片,http://8.155.43.98:35455/huya/11342435
电影轮播,http://8.155.43.98:35455/huya/11279247

电视剧频道,#genre#
精品大剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221225670/index.m3u8?
热播精选,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221225671/index.m3u8?
精品影视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221225664/index.m3u8?
超级视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8#http://39.135.133.156/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
东北热剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221225716/index.m3u8?#http://39.134.64.179:6610/PLTV/88888888/224/3221225741/index.m3u8?#http://39.134.65.74/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
欢乐剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221225742/index.m3u8?#http://39.135.135.28/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
爱情喜剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221225669/index.m3u8?
古装剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221225663/index.m3u8?
家庭剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221225677/index.m3u8?
海外剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221225671/index.m3u8?
军旅剧场,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225676/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221225676/index.m3u8?#http://39.134.65.76/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8

纪录综艺,#genre#
精品纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221225672/index.m3u8?
CGTN纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225602/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221225602/index.m3u8?
求索纪录,http://39.134.65.106/PLTV/88888888/224/3221225713/1.m3u8
求索生活,http://39.134.65.106/PLTV/88888888/224/3221225715/1.m3u8
求索科学,http://39.134.65.106/PLTV/88888888/224/3221225728/1.m3u8
求索动物,http://39.134.65.106/PLTV/88888888/224/3221225730/1.m3u8
宇宙探索,http://8.155.43.98:35455/douyu/9456028#http://live.nctv.top/douyu1.php?id=9456028
未解之谜,http://8.155.43.98:35455/douyu/9369468#http://live.nctv.top/douyu1.php?id=9369468
超级综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221225714/index.m3u8?
金牌综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221225666/index.m3u8?#http://39.135.135.24/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8

体育频道,#genre#
精品体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221225674/index.m3u8?
超级体育,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225715/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221225715/index.m3u8?
五星体育,http://38.75.136.137:98/gslb/dsdqpub/wxtyhd.m3u8?auth=testpub#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=wxtyhd
劲爆体育,http://183.237.95.108:9901/tsfile/live/1074_1.m3u8?key=txiptv&playlive=0&authid=0
晴彩篮球,http://39.134.65.106/PLTV/88888888/224/3221226027/1.m3u8#http://39.134.65.106/PLTV/88888888/224/3221225895/1.m3u8
晴彩竞技,http://39.134.65.106/PLTV/88888888/224/3221225897/1.m3u8
英雄联盟,http://8.155.43.98:35455/huya/660000#http://8.155.43.98:35455/douyu/288016
王者荣耀,http://8.155.43.98:35455/huya/660002#http://8.155.43.98:35455/douyu/1863767
无畏契约,http://8.155.43.98:35455/huya/660679#http://8.155.43.98:35455/douyu/602#http://8.155.43.98:35455/douyu/4585645#http://8.155.43.98:35455/bilibili/22908869
守望先锋,http://8.155.43.98:35455/huya/660128
和平精英,http://8.155.43.98:35455/huya/660006#http://8.155.43.98:35455/douyu/999
DOTA,http://8.155.43.98:35455/huya/660118#http://8.155.43.98:35455/huya/470252
CSGO,http://8.155.43.98:35455/huya/483917#http://8.155.43.98:35455/douyu/6200#http://8.155.43.98:35455/douyu/825801
三角洲行动,http://8.155.43.98:35455/huya/152792
第五人格,http://8.155.43.98:35455/huya/idvesports#http://8.155.43.98:35455/huya/461698
哒啵赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225675/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221225675/index.m3u8?
四海钓鱼,http://47.104.178.59:3566/637444975
快乐垂钓,http://zhangkx717.cn:9999/rtp/239.69.1.142:10488
咪咕直播1,http://gslbserv.itv.cmvideo.cn:80/3000000001000005308/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000005308&livemode=1&stbId=YanG-1989
咪咕直播2,http://gslbserv.itv.cmvideo.cn:80/3000000001000005969/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000005969&livemode=1&stbId=YanG-1989
咪咕直播3,http://gslbserv.itv.cmvideo.cn:80/3000000001000007218/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000007218&livemode=1&stbId=YanG-1989
咪咕直播4,http://gslbserv.itv.cmvideo.cn:80/3000000001000008001/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000008001&livemode=1&stbId=YanG-1989
咪咕直播5,http://gslbserv.itv.cmvideo.cn:80/3000000001000008176/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000008176&livemode=1&stbId=YanG-1989
咪咕直播6,http://gslbserv.itv.cmvideo.cn:80/3000000001000008379/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000008379&livemode=1&stbId=YanG-1989
咪咕直播7,http://gslbserv.itv.cmvideo.cn:80/3000000001000010129/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000010129&livemode=1&stbId=YanG-1989
咪咕直播8,http://gslbserv.itv.cmvideo.cn:80/3000000001000010948/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000010948&livemode=1&stbId=YanG-1989
咪咕直播9,http://gslbserv.itv.cmvideo.cn:80/3000000001000028638/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000028638&livemode=1&stbId=YanG-1989
咪咕直播10,http://gslbserv.itv.cmvideo.cn:80/3000000001000031494/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000031494&livemode=1&stbId=YanG-1989
咪咕直播11,http://gslbserv.itv.cmvideo.cn:80/3000000010000000097/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000000097&livemode=1&stbId=YanG-1989
咪咕直播12,http://gslbserv.itv.cmvideo.cn:80/3000000010000002019/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000002019&livemode=1&stbId=YanG-1989
